1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,appliance
2.38554,0.72441,0.21453,1.74089,0.72441,0.26687,0.73467,0.77563,0.66608,2.96932,Phone Charger
8.4655,0.61782,2.4094,0.93799,1.77426,1.96694,0.10156,2.45698,0.72783,4.61212,Monitor
52.16854,49.72494,53.64319,51.3205,52.36708,52.87352,51.37305,52.45935,50.88327,54.7131,Electric Fan
63.62302,50.51079,44.20687,52.80204,65.27783,60.23907,63.56974,63.75347,60.07636,63.94559,Laptop Charger
8.29806,10.24461,10.14396,7.44191,8.10014,5.16266,6.3063,8.73197,6.01494,6.55662,Desk Lamp
1.57536,1.03016,0.96483,0.1989,0.40859,0.30071,2.56634,1.2102,1.22987,0.16985,Phone Charger
0.38039,1.81803,0.1088,2.33171,1.33425,1.37962,1.01832,1.8803,1.33425,0.6592,Monitor
52.32151,52.52079,53.02113,49.64393,51.96938,51.22777,52.20312,51.19266,51.47555,52.07337,Electric Fan
46.54466,50.09967,66.02764,56.44794,48.27066,46.70722,48.52624,66.75113,59.69636,54.44727,Laptop Charger
6.24199,6.1959,7.09486,9.28151,7.38597,8.41664,6.74534,6.84782,5.08873,7.2779,Desk Lamp
0.88412,0.21682,1.63885,1.78366,0.6529,2.07442,0.83772,0.18844,1.15242,1.67679,Phone Charger
3.28552,0.85709,1.50833,0.87062,0.33796,0.37245,0.69357,1.02499,0.85033,1.37315,Monitor
51.19015,50.80504,49.78787,52.33137,55.79029,52.49131,51.03061,52.41385,50.69384,51.58785,Electric Fan
46.74914,60.0451,68.32517,45.56561,45.69521,61.12921,62.9747,49.7821,46.78225,55.83698,Laptop Charger
8.02954,8.86384,7.83715,8.45736,9.0383,7.07295,5.50321,9.53335,8.87579,8.29806,Desk Lamp
0.16614,0.0958,1.21415,3.13962,1.2887,0.09432,1.14439,0.8875,0.71414,1.62935,Phone Charger
1.2887,1.73663,0.03618,0.36627,0.13276,1.65468,0.95813,2.35567,3.00355,2.58693,Monitor
51.74969,51.17509,52.03749,52.12036,52.61774,50.75325,49.64907,51.60903,52.30672,52.28084,Electric Fan
61.49037,49.83407,44.6345,55.09065,61.36821,50.73429,48.86421,54.57289,62.8207,50.47463,Laptop Charger
8.04202,6.56566,11.1402,7.051,10.00147,8.17048,8.14982,5.57525,7.13862,7.69364,Desk Lamp
0.6529,0.54055,1.24624,0.06633,0.05075,0.1088,0.18453,0.79945,1.60715,0.79605,Phone Charger
0.32378,1.63569,1.79304,0.42266,0.44852,1.05828,1.96077,0.15935,2.053,2.10191,Monitor
53.94057,49.18016,51.79692,50.6913,52.77084,51.24658,51.64889,52.29439,52.31165,49.98909,Electric Fan
46.93808,64.76628,56.46529,49.04515,56.52768,61.8219,61.79138,45.51106,62.17109,66.36128,Laptop Charger
7.85396,7.19533,8.20349,6.18206,7.89172,7.83294,9.69823,7.1255,7.29524,6.84338,Desk Lamp
1.19378,0.92144,0.69014,1.4229,1.14422,0.02594,0.80624,0.10318,1.27565,0.50672,Phone Charger
3.62196,1.85543,2.34968,1.76173,1.48911,2.7621,1.69887,1.82427,0.49974,0.93127,Monitor
50.99789,49.83151,51.55293,51.12362,50.18071,53.15746,54.60975,51.83667,51.47805,51.00293,Electric Fan
52.63797,47.97429,57.32387,66.77718,60.43414,55.9885,46.68083,45.5801,42.62092,47.90145,Laptop Charger
8.49799,10.18876,7.32121,11.00428,9.04224,7.48911,8.45736,7.57461,5.79894,9.00274,Desk Lamp
0.40507,0.89761,0.40661,1.73348,0.53285,0.3415,2.54277,1.11796,0.14017,0.23472,Phone Charger
0.28112,2.81421,2.62215,2.43321,0.93127,1.29521,1.17734,3.4575,2.14455,1.36667,Monitor
54.50981,54.70835,53.94537,52.33506,54.85538,54.17557,53.30806,50.35902,54.22462,51.39682,Electric Fan
42.36906,46.23451,40.56676,44.74946,42.89841,42.44583,62.43959,49.04059,53.19818,56.68917,Laptop Charger
10.21112,5.65175,6.50685,9.81247,9.57566,6.08478,9.45233,5.50321,7.16918,9.51023,Desk Lamp
1.57536,0.45234,1.59444,1.47628,0.33086,3.03485,1.56262,1.01499,0.81789,2.0346,Phone Charger
2.14455,1.03832,0.81643,1.30173,2.42131,2.07748,1.24297,1.86787,1.62301,2.70979,Monitor
53.45587,53.42077,51.74348,51.80934,51.74099,50.7166,55.0446,50.86434,51.84661,54.76412,Electric Fan
56.74732,64.17455,62.48735,54.18455,51.22402,45.66352,40.34127,48.80747,48.77745,54.31724,Laptop Charger
9.26201,9.55644,8.60323,5.46948,8.24467,6.94971,7.80348,8.05033,8.42072,6.42965,Desk Lamp
0.24902,0.63163,0.6179,1.8803,0.25616,0.73467,1.44737,0.96818,0.92791,0.30247,Phone Charger
0.91109,1.17734,0.34974,0.58322,0.71414,2.10801,1.05163,3.40226,0.44089,1.2102,Monitor
53.48855,51.96071,52.45812,51.5679,51.42683,50.62803,51.22277,52.03625,52.00159,50.4594,Electric Fan
52.77513,56.61425,53.78543,70.32332,55.59909,46.56364,47.34288,50.77094,47.88753,52.04739,Laptop Charger
6.68715,6.08478,6.12654,6.45694,5.48876,9.17988,9.23467,9.63321,6.74981,9.55644,Desk Lamp
0.09949,1.44737,0.96558,1.21348,1.99467,1.16747,0.10688,0.95813,0.55597,1.03016,Phone Charger
1.73663,0.70043,1.08484,1.46344,1.96694,0.65231,1.54668,1.23643,1.64835,0.76881,Monitor
52.25124,51.07713,50.87947,52.8955,51.11357,53.7264,51.94212,50.533,49.95838,51.5654,Electric Fan
66.22971,61.71263,64.34645,56.87957,48.93326,56.83187,43.41397,57.49372,57.76867,48.21072,Laptop Charger
8.44515,10.45552,7.26489,7.02463,9.07773,8.36358,9.12101,4.73393,5.59441,5.83671,Desk Lamp
1.93297,0.73809,0.58302,0.57142,0.01795,0.80206,0.33087,0.87062,0.47177,0.48293,Phone Charger
1.69257,0.7272,1.50193,0.26687,0.21682,0.54851,0.0958,2.17492,2.95217,2.15671,Monitor
49.29806,51.91856,52.49499,52.84054,51.45931,53.4825,53.53208,52.54412,51.98425,52.93822,Electric Fan
45.6587,52.81975,57.45898,47.61051,43.03301,58.86934,53.18542,40.52584,56.07866,58.8057,Laptop Charger
7.54473,7.76976,7.57035,8.86783,7.95867,7.93359,7.99622,4.42241,6.40232,6.15432,Desk Lamp
0.94148,0.74834,0.36867,1.26259,0.22757,0.21324,0.6529,1.08484,0.48926,0.92144,Phone Charger
1.3602,0.6867,2.10801,0.74834,0.05802,1.73663,0.14493,1.65468,0.15214,0.05075,Monitor
